Código;Descrição Resumida
100001421;CONDICIONADOR JANELA 12.000 BTU/H 127V
100001420;CONDICIONADOR JANELA 10.000 BTU/H 127V
100001419;CONDICIONADOR JANELA 10.000 BTU/H 220V C/ INSTALAÇAO
100000170;CENTRAL CONDICIONAMENTO AR C/ EXAUSTAO MECANICA
100006058;UNIDADE CONDENSADORA VRF 3 - 343.900 BTU'S/H (SEMIT)
100006057;UNIDADE CONDENSADORA VRF 2 - 248.400 BTU'S/H (SEMIT)
100006056;UNIDADE CONDENSADORA VRF 1 - 248.400 BTU'S/H (SEMIT)
100005590;UNIDADE EVAPORADORA TIPO TETO EMBUTIDO SISTEMA CLIMATIZAÇAO VRF 16 HP
100005589;UNIDADE EVAPORADORA TIPO TETO EMBUTIDO SISTEMA CLIMATIZAÇAO VRF 14 HP
100005588;UNIDADE EVAPORADORA TIPO CASSETE 04 VIAS SISTEMA
100005587;UNIDADE EVAPORADORA TIPO PAREDE SISTEMA CLIMATIZAÇAO VRF 3.0 HP
100005586;UNIDADE EVAPORADORA TIPO PAREDE SISTEMA CLIMATIZAÇAO VRF 2.5 HP
100005585;UNIDADE EVAPORADORA TIPO PAREDE SISTEMA CLIMATIZAÇAO VRF 2.0 HP
100005565;UNIDADE EVAPORADORA MODELO/TIPO TETO EMBUTIDO
100005564;UNIDADE EVAPORADORA MODELO/TIPO CASSETE 04 VIAS
100005563;UNIDADE EVAPORADORA MODELO/TIPO PAREDE VRF
